Region,rank_nac,uv_nombre,Comuna,c_ig_nac,c_ig_reg,c_ig_com,pob_rsh_uv,uv_definida
MAULE,196,11,RETIRO,1,1,1,440,True
MAULE,201,LOMA DE VASQUEZ,LONGAVI,1,1,1,152,True
MAULE,235,VEGA DE LAS CASAS,LONGAVI,1,1,1,15,True
MAULE,304,7,EMPEDRADO,1,1,1,254,True
METROPOLITANA DE SANTIAGO,180,B16,PUENTE ALTO,1,1,1,69,True
METROPOLITANA DE SANTIAGO,354,37B,LO ESPEJO,1,1,1,14165,True
METROPOLITANA DE SANTIAGO,422,23,LA PINTANA,1,1,1,460,True
METROPOLITANA DE SANTIAGO,476,22,LA PINTANA,1,1,1,24109,True
METROPOLITANA DE SANTIAGO,568,BANOS MORALES,SAN JOSE DE MAIPO,1,1,1,91,True
METROPOLITANA DE SANTIAGO,629,15,LA PINTANA,1,1,1,9604,True
METROPOLITANA DE SANTIAGO,682,13,LA PINTANA,1,1,1,2749,True
METROPOLITANA DE SANTIAGO,751,3,LA PINTANA,1,1,1,14715,True
METROPOLITANA DE SANTIAGO,756,LOS JACARANDA,LA GRANJA,1,1,1,6966,True
METROPOLITANA DE SANTIAGO,771,A44,PUENTE ALTO,1,1,1,885,True
TARAPACA,37,001,HUARA,1,1,1,105,True
TARAPACA,108,011,HUARA,1,1,1,27,True
TARAPACA,165,008,HUARA,1,1,1,29,True
TARAPACA,195,001,COLCHANE,1,1,1,526,True
TARAPACA,273,002,COLCHANE,1,1,2,500,True
TARAPACA,287,009,HUARA,1,1,2,233,True
TARAPACA,383,005,HUARA,1,1,2,260,True
TARAPACA,384,01,CAMINA,1,1,1,62,True
TARAPACA,450,05,CAMINA,1,1,2,423,True
TARAPACA,543,010,HUARA,1,1,2,74,True
VALPARAISO,115,003,EL QUISCO,1,1,1,10874,True
VALPARAISO,131,EL FRUTILLAR,PETORCA,1,1,1,53,True
VALPARAISO,139,ISLA ALEJANDRO SELKIRK,JUAN FERNANDEZ,1,1,2,109,True
VALPARAISO,168,EL PINAR,EL TABO,1,1,1,1313,True
VALPARAISO,252,208,VALPARAISO,1,1,1,1255,True
VALPARAISO,256,EX FUNDO CHEPICA,EL TABO,1,1,1,2320,True
VALPARAISO,275,LOS AROMOS,EL TABO,1,1,1,297,True
VALPARAISO,362,ALTOS DE CORDOVA,EL TABO,1,1,1,113,True
VALPARAISO,405,021,LA LIGUA,1,1,1,2970,True
VALPARAISO,410,13,QUINTERO,1,1,1,114,True
VALPARAÍSO,2005,SAN ISIDRO,QUILLOTA,2,1,1,94,True
VALPARAÍSO,2312,QUILLOTA CENTRO,QUILLOTA,2,1,1,4156,True
VALPARAÍSO,2759,SAN PEDRO,QUILLOTA,2,1,1,5092,True
VALPARAÍSO,2816,RAUTEN,QUILLOTA,2,1,1,41,True
VALPARAÍSO,3153,MAYACA,QUILLOTA,2,2,1,4468,True
VALPARAÍSO,3693,EL BAJIO 2,QUILLOTA,3,2,2,6932,True
VALPARAÍSO,3768,EL BAJIO,QUILLOTA,3,2,2,7241,True
VALPARAÍSO,3890,BOCO,QUILLOTA,3,2,2,2469,True
VALPARAÍSO,4360,QUILLOTA ESTE,QUILLOTA,3,3,2,4545,True
VALPARAÍSO,4494,SAID,QUILLOTA,3,3,2,7539,True
ÑUBLE,1,CULENCO,QUIRIHUE,1,1,1,121,True
ÑUBLE,6,15R,PORTEZUELO,1,1,1,77,True
ÑUBLE,8,4R,QUILLON,1,1,1,182,True
ÑUBLE,11,8R,QUILLON,1,1,1,231,True
ÑUBLE,17,03R,YUNGAY,1,1,1,228,True
ÑUBLE,20,LOS CORRALES,COBQUECURA,1,1,1,89,True
ÑUBLE,23,08R,PORTEZUELO,1,1,1,179,True
ÑUBLE,35,13R,QUILLON,1,1,1,78,True
ÑUBLE,42,CHANCO,COBQUECURA,1,1,1,13,True
ÑUBLE,43,03R,PORTEZUELO,1,1,1,129,True
