Region,rank_nac,uv_nombre,Comuna,c_ig_nac,c_ig_reg,c_ig_com,pob_rsh_uv,uv_definida
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,232,BAHIA JARA,CHILE CHICO,1,1,2,84,True
LA ARAUCANIA,233,SANTA CELIA,CARAHUE,1,1,2,599,True
LA ARAUCANIA,234,CHIVILCOYAN,CHOLCHOL,1,1,1,1397,True
MAULE,235,VEGA DE LAS CASAS,LONGAVI,1,1,1,15,True
LOS LAGOS,236,PICHILAFQUENMAPU,SAN JUAN DE LA COSTA,1,1,2,917,True
ARICA Y PARINACOTA,237,SIN DEF COMUNAL,ARICA,1,1,1,653,False
BIOBIO,238,EL GUINDO,QUILLECO,1,1,1,208,True
ARICA Y PARINACOTA,239,SOBRAYA,ARICA,1,1,1,1656,True
LA ARAUCANIA,240,RIO BLANCO,PUCON,1,1,1,22,True
LA ARAUCANIA,241,POCOYAN,TOLTEN,1,1,2,2131,True
BIOBIO,242,012,ALTO BIOBIO,1,1,2,2416,True
BIOBIO,243,RERE,YUMBEL,1,1,1,732,True
LA ARAUCANIA,244,EL RESPLANDOR,TEODORO SCHMIDT,1,1,3,367,True
LA ARAUCANIA,245,MOLULCO,MELIPEUCO,1,1,1,401,True
ÑUBLE,246,07R,PEMUCO,1,1,1,64,True
BIOBIO,247,CATREN,LOS ALAMOS,1,1,1,73,True
ANTOFAGASTA,248,7,MARIA ELENA,1,1,1,202,True
BIOBIO,249,09R,TIRUA,1,1,2,645,True
BIOBIO,250,PUNTA LAVAPIE,ARAUCO,1,1,1,906,True
LOS LAGOS,251,ESTANQUILLA,LOS MUERMOS,1,1,1,1705,True
VALPARAISO,252,208,VALPARAISO,1,1,1,1255,True
ÑUBLE,253,04R,TREGUACO,1,1,1,203,True
ÑUBLE,254,11R,QUILLON,1,1,2,516,True
LA ARAUCANIA,255,REDUCCION HUEQUEN,ANGOL,1,1,1,245,True
VALPARAISO,256,EX FUNDO CHEPICA,EL TABO,1,1,1,2320,True
LA ARAUCANIA,257,CHANLEO,ANGOL,1,1,1,242,True
LA ARAUCANIA,258,LOLOCURA,CARAHUE,1,1,2,1368,True
LOS RIOS,259,05R,MAFIL,1,1,1,316,True
ARICA Y PARINACOTA,260,COSAPILLA,GENERAL LAGOS,1,1,4,119,True
LOS LAGOS,261,PUNINQUE,SAN JUAN DE LA COSTA,1,1,2,287,True
