scope,territory_code,name,region,fiscal_source_available,direct_source_available,census_private_dwellings_2024,fiscal_baseline_primary_h_roles_2026s1,direct_primary_h_roles_2026s1,direct_vs_fiscal_primary_h_change,eligible_nonprincipal_residential_roles_2026s1,expanded_residential_roles_2026s1,signed_difference_before_expansion,positive_difference_before_expansion,signed_difference_after_expansion,positive_difference_after_expansion,signed_difference_reduction,positive_difference_reduction
commune,14105,Máfil,Los Ríos,True,True,3436,1745,1746,1,29,1775,1690,1690,1661,1661,29,29
commune,14106,Mariquina,Los Ríos,True,True,10267,5447,5450,3,138,5588,4817,4817,4679,4679,138,138
commune,14107,Paillaco,Los Ríos,True,True,8437,4486,4486,0,154,4640,3951,3951,3797,3797,154,154
commune,14108,Panguipulli,Los Ríos,True,True,20013,7947,7949,2,287,8236,12064,12064,11777,11777,287,287
commune,14201,La Unión,Los Ríos,True,True,17144,10950,10952,2,251,11203,6192,6192,5941,5941,251,251
commune,14202,Futrono,Los Ríos,True,True,7930,3863,3865,2,133,3998,4065,4065,3932,3932,133,133
commune,14203,Lago Ranco,Los Ríos,True,True,6248,2215,2216,1,76,2292,4032,4032,3956,3956,76,76
commune,14204,Río Bueno,Los Ríos,True,True,16362,8928,8928,0,203,9131,7434,7434,7231,7231,203,203
commune,15101,Arica,Arica y Parinacota,True,True,84853,64694,64703,9,1441,66144,20150,20150,18709,18709,1441,1441
commune,15102,Camarones,Arica y Parinacota,True,True,1035,365,365,0,11,376,670,670,659,659,11,11
commune,15201,Putre,Arica y Parinacota,True,True,1851,698,698,0,19,717,1153,1153,1134,1134,19,19
commune,15202,General Lagos,Arica y Parinacota,True,True,623,121,121,0,2,123,502,502,500,500,2,2
commune,16101,Chillán,Ñuble,True,True,80984,72955,72964,9,1123,74087,8020,8020,6897,6897,1123,1123
commune,16102,Bulnes,Ñuble,True,True,10527,7063,7063,0,115,7178,3464,3464,3349,3349,115,115
commune,16103,Chillán Viejo,Ñuble,True,True,13017,10844,10846,2,123,10969,2171,2171,2048,2048,123,123
