codigo_comuna,comuna,region,conara_sources,source_available,dwellings_2024,vacant_2024,households_2024,occupied_private_dwellings_2024,irrecoverable_type_dwellings_2024,irrecoverable_materiality_dwellings_2024,irrecoverable_dwellings_2024,residential_roles_2026s1,signed_gap,coverage_pct,camp_polygons_2026,camp_census_households_observed_2024,camp_census_count_missing_polygons,camp_catalog_households_2026,camp_sensitivity_signed_gap,camp_sensitivity_positive_gap,camp_absorbed_positive_gap,camp_absorbed_positive_gap_pct,camp_adjustment_status,historical_conara_sources,historical_source_available,residential_roles_2024s2,gap_2024s2,roles_without_coordinates,parent_references,net_mean_annual_clp,net_median_annual_clp,net_positive_share,net_positive_mean_annual_clp,net_positive_median_annual_clp,scenario_q0_clp,scenario_q025_clp,scenario_q05_clp,scenario_q1_clp,fiscal_status
9111,Nueva Imperial,La Araucanía,09208,True,14834,2093,12109,12012,136,64,198,6473,8361,43.636241067817174,1,0,1,14,8361,8361,0,0.0,partial_census_count,09208,True,6364,8470,87,0,,,,,,,,,,blocked_components
9112,Padre Las Casas,La Araucanía,09220,True,32146,3238,27708,27469,105,83,185,17763,14383,55.25726373421266,3,22,2,41,14361,14361,22,0.15295835361190294,partial_census_count,09220,True,17330,14816,39,0,,,,,,,,,,blocked_components
9113,Perquenco,La Araucanía,09206,True,3345,492,2742,2734,21,13,34,1458,1887,43.587443946188344,0,0,0,0,1887,1887,0,0.0,no_current_camp_polygon,09206,True,1413,1932,14,0,,,,,,,,,,blocked_components
9114,Pitrufquén,La Araucanía,09211,True,13094,1964,10252,10139,42,29,70,7542,5552,57.598900259660915,0,0,0,0,5552,5552,0,0.0,no_current_camp_polygon,09211,True,7159,5935,54,0,,,,,,,,,,blocked_components
9115,Pucón,La Araucanía,09216,True,28756,15279,12548,12372,62,54,114,15041,13715,52.30560578661844,2,8,1,34,13707,13707,8,0.058330295297119944,partial_census_count,09216,True,14268,14488,231,0,,,,,,,,,,blocked_components
9116,Saavedra,La Araucanía,09210,True,6753,1625,4926,4889,59,33,89,1408,5345,20.84999259588331,1,0,1,6,5345,5345,0,0.0,partial_census_count,09210,True,1375,5378,36,0,,,,,,,,,,blocked_components
9117,Teodoro Schmidt,La Araucanía,09219,True,8005,1672,6048,6019,19,31,47,2547,5458,31.817613991255467,0,0,0,0,5458,5458,0,0.0,no_current_camp_polygon,09219,True,2472,5533,45,0,,,,,,,,,,blocked_components
9118,Toltén,La Araucanía,09213,True,4951,1040,3857,3827,28,24,52,1864,3087,37.648959806099775,1,0,1,13,3087,3087,0,0.0,partial_census_count,09213,True,1775,3176,86,0,,,,,,,,,,blocked_components
9119,Vilcún,La Araucanía,09202,True,13920,2139,11229,11166,31,40,68,7491,6429,53.814655172413794,0,0,0,0,6429,6429,0,0.0,no_current_camp_polygon,09202,True,7213,6707,27,0,,,,,,,,,,blocked_components
9120,Villarrica,La Araucanía,09215,True,43213,15085,25155,24839,140,126,248,23141,20072,53.55101474093444,2,95,0,69,19977,19977,95,0.4732961339178956,complete_census_count,09215,True,20980,22233,40,0,,,,,,,,,,blocked_components
9121,Cholchol,La Araucanía,09221,True,5268,598,4549,4519,29,36,63,1727,3541,32.782839787395595,0,0,0,0,3541,3541,0,0.0,no_current_camp_polygon,09221,True,1526,3742,44,0,,,,,,,,,,blocked_components
9201,Angol,La Araucanía,09101,True,22085,1623,19220,18950,150,100,234,19299,2786,87.3851030110935,1,5,0,25,2781,2781,5,0.17946877243359655,complete_census_count,09101,True,17917,4168,450,0,,,,,,,,,,blocked_components
9202,Collipulli,La Araucanía,09105,True,10454,1066,8764,8654,69,29,94,6634,3820,63.45896307633442,4,70,0,123,3750,3750,70,1.8324607329842932,complete_census_count,09105,True,6563,3891,275,0,,,,,,,,,,blocked_components
9203,Curacautín,La Araucanía,09110,True,9916,2389,7102,7073,17,9,25,6246,3670,62.989108511496575,1,6,0,10,3664,3664,6,0.16348773841961853,complete_census_count,09110,True,5873,4043,422,0,,,,,,,,,,blocked_components
9204,Ercilla,La Araucanía,09106,True,3782,599,2787,2764,53,23,69,1606,2176,42.46430460074035,1,0,1,7,2176,2176,0,0.0,partial_census_count,09106,True,1582,2200,95,0,,,,,,,,,,blocked_components
9205,Lonquimay,La Araucanía,09111,True,5651,1660,3763,3739,24,20,43,1614,4037,28.561316581136083,1,0,1,7,4037,4037,0,0.0,partial_census_count,09111,True,1552,4099,433,0,,,,,,,,,,blocked_components
9206,Los Sauces,La Araucanía,09103,True,3369,581,2716,2690,69,18,84,1880,1489,55.802908875037105,0,0,0,0,1489,1489,0,0.0,no_current_camp_polygon,09103,True,1841,1528,65,0,,,,,,,,,,blocked_components
9207,Lumaco,La Araucanía,09108,True,4214,649,3401,3387,19,23,42,1583,2631,37.565258661604176,0,0,0,0,2631,2631,0,0.0,no_current_camp_polygon,09108,True,1554,2660,159,0,,,,,,,,,,blocked_components
9208,Purén,La Araucanía,09102,True,5298,673,4515,4482,15,41,55,3119,2179,58.87127217818045,4,90,0,105,2089,2089,90,4.130335016062414,complete_census_count,09102,True,3099,2199,227,0,,,,,,,,,,blocked_components
9209,Renaico,La Araucanía,09104,True,4516,453,3834,3776,20,11,31,3354,1162,74.26926483613818,1,9,0,8,1153,1153,9,0.774526678141136,complete_census_count,09104,True,3219,1297,155,0,,,,,,,,,,blocked_components
9210,Traiguén,La Araucanía,09107,True,8371,861,7026,6958,50,26,72,5785,2586,69.10763349659538,2,0,2,59,2586,2586,0,0.0,partial_census_count,09107,True,5731,2640,403,0,,,,,,,,,,blocked_components
9211,Victoria,La Araucanía,09109,True,14449,1337,12465,12362,194,45,233,10011,4438,69.28507163125475,2,0,2,8,4438,4438,0,0.0,partial_census_count,09109,True,9700,4749,474,0,,,,,,,,,,blocked_components
