estimate,weighted_denominator,se,ci_low,ci_high,n_psu,n_strata,design_df,ci_status,scope,territory_code,territory_name,unit,denominator_definition,weight,n_households,n_valid,n_missing,n_flagged,selection_note
,0.0,,,,0,0,0,no_sample,commune,5104,Juan Fernández,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,0,0,0,0,Census commune without sampled CASEN households; no sample is not a zero rate.
0.05787619526925013,7948.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5105,Puchuncaví,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,99,99,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.023600955621515964,13813.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5107,Quintero,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,133,133,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0859948617877048,142462.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5109,Viña del Mar,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,1608,1608,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
,0.0,,,,0,0,0,no_sample,commune,5201,Isla de Pascua,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,0,0,0,0,Census commune without sampled CASEN households; no sample is not a zero rate.
0.0,24389.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5301,Los Andes,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,290,290,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,6460.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5302,Calle Larga,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,100,100,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,4711.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5303,Rinconada,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,62,62,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.03587664332227546,8139.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5304,San Esteban,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,89,89,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.002022517359940673,14833.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5401,La Ligua,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,157,157,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.016184811177202933,7229.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5402,Cabildo,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,98,98,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0054917623564653024,2003.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5403,Papudo,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,45,45,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.015292053146151919,3989.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5404,Petorca,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,75,75,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,2831.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5405,Zapallar,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,62,62,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.00771889400921659,34720.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5501,Quillota,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,311,311,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.005129053606882859,18132.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5502,Calera,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,237,237,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.007227827134467701,6641.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5503,Hijuelas,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,96,96,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.01829914282962535,10383.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5504,La Cruz,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,123,123,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.059159378036929056,8232.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5506,Nogales,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,97,97,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,35940.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5601,San Antonio,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,405,405,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,6295.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5602,Algarrobo,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,87,87,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,10046.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5603,Cartagena,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,146,146,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
0.0,7602.0,,,,12512,756,11756,descriptive_nonrepresentative_no_ci,commune,5604,El Quisco,household,"All households with exactly one head (pco1=1), valid v9 (1..11), positive weight; no ownership or v28 restriction.",expc,97,97,0,0,"Complete sampled-commune aggregate, sorted by code; no ranking. Valparaíso/Viña del Mar selected after prior exploration, not confirmatory."
